Calu [15, 140, 15, 0] [19, 215, 21, 0] [20, 170, 25, 0] [32, 255, 36, 0] [30, 255, 46, 0] [36, 255, 50, 0] [0, 14, 11, 0]
Stuff [0, 0, 0, 0] [0, 0, 0, 0] [0, 0, 0, 0] [38, 255, 33, 0] [38, 255, 33, 0] [38, 255, 33, 0] [0, 0, 0, 0]
Stuff [0, 0, 0, 0] [0, 0, 0, 0] [0, 0, 0, 0] [256, 256, 256, 0] [256, 256, 256, 0] [256, 256, 256, 0] [125, 125, 125, 0]
Stuff [0, 0, 0, 0] [0, 0, 0, 0] [0, 0, 0, 0] [256, 256, 256, 0] [256, 256, 256, 0] [256, 256, 256, 0] [125, 125, 125, 0]
Stuff [0, 0, 0, 0] [0, 0, 0, 0] [0, 0, 0, 0] [177, 255, 189, 0] [177, 255, 189, 0] [177, 255, 189, 0] [0, 0, 0, 0]
Stuff [0, 0, 0, 0] [0, 0, 0, 0] [0, 0, 0, 0] [256, 256, 256, 0] [256, 256, 256, 0] [256, 256, 256, 0] [125, 125, 125, 0]
NewStuff [0, 0, 0, 0] [0, 0, 0, 0] [0, 0, 0, 0] [256, 256, 256, 0] [256, 256, 256, 0] [256, 256, 256, 0] [125, 125, 125, 0]
NewStuff [0, 0, 0, 0] [0, 0, 0, 0] [0, 0, 0, 0] [256, 256, 256, 0] [256, 256, 256, 0] [256, 256, 256, 0] [125, 125, 125, 0]
Stuff [0, 0, 0, 0] [0, 0, 0, 0] [0, 0, 0, 0] [256, 256, 256, 0] [256, 256, 256, 0] [256, 256, 256, 0] [125, 125, 125, 0]
NewStuff [0, 0, 0, 0] [0, 0, 0, 0] [0, 0, 0, 0] [256, 256, 256, 0] [256, 256, 256, 0] [256, 256, 256, 0] [125, 125, 125, 0]
Stuff [0, 0, 0, 0] [0, 0, 0, 0] [0, 0, 0, 0] [256, 256, 256, 0] [256, 256, 256, 0] [256, 256, 256, 0] [125, 125, 125, 0]
Stuff [0, 0, 0, 0] [0, 0, 0, 0] [0, 0, 0, 0] [256, 256, 256, 0] [256, 256, 256, 0] [256, 256, 256, 0] [125, 125, 125, 0]
Stuff [0, 0, 0, 0] [0, 0, 0, 0] [0, 0, 0, 0] [256, 256, 256, 0] [256, 256, 256, 0] [256, 256, 256, 0] [125, 125, 125, 0]
NewStuff [0, 0, 0, 0] [0, 0, 0, 0] [0, 0, 0, 0] [256, 256, 256, 0] [256, 256, 256, 0] [256, 256, 256, 0] [125, 125, 125, 0]
Stuff [0, 0, 0, 0] [0, 0, 0, 0] [0, 0, 0, 0] [256, 256, 256, 0] [256, 256, 256, 0] [256, 256, 256, 0] [125, 125, 125, 0]
Stuff [0, 0, 0, 0] [0, 0, 0, 0] [0, 0, 0, 0] [256, 256, 256, 0] [256, 256, 256, 0] [256, 256, 256, 0] [125, 125, 125, 0]
NewStuff [0, 0, 0, 0] [0, 0, 0, 0] [0, 0, 0, 0] [256, 256, 256, 0] [256, 256, 256, 0] [256, 256, 256, 0] [125, 125, 125, 0]
